R	RNG	RG	CS1	CS2	CST	A-9	A-8	A-7	A-6	A-5	A-4	A-3	A-2	A-1	A0	A1	A2	A3	A4	A5	A6	A7	A8	A9
2.760	0.270	6.000	14.000	24.000	38.000	0.000	0.040	0.010	0.050	0.080	0.050	0.090	0.070	0.070	0.010	0.060	0.110	0.140	0.130	0.030	0.040	0.010	0.000	0.010
1.958	0.237	6.000	32.000	35.000	67.000	0.000	0.020	0.030	0.040	0.060	0.070	0.050	0.110	0.080	0.000	0.140	0.120	0.100	0.050	0.060	0.030	0.040	0.000	0.000
1.179	0.234	8.000	30.000	20.000	50.000	0.010	0.010	0.050	0.060	0.100	0.050	0.070	0.090	0.030	0.000	0.130	0.070	0.050	0.090	0.030	0.090	0.040	0.020	0.010
2.118	0.254	6.000	23.000	38.000	61.000	0.010	0.000	0.030	0.030	0.060	0.070	0.080	0.170	0.080	0.000	0.090	0.070	0.040	0.130	0.050	0.050	0.020	0.020	0.000
0.513	0.241	7.000	30.000	23.000	53.000	0.010	0.030	0.040	0.070	0.070	0.050	0.080	0.050	0.070	0.000	0.090	0.100	0.080	0.080	0.060	0.050	0.030	0.030	0.010
1.461	0.250	7.000	60.000	21.000	81.000	0.010	0.020	0.020	0.030	0.040	0.090	0.080	0.100	0.120	0.000	0.140	0.070	0.040	0.080	0.070	0.040	0.030	0.010	0.010
2.059	0.238	7.000	16.000	18.000	34.000	0.000	0.030	0.050	0.080	0.030	0.110	0.080	0.030	0.080	0.000	0.060	0.090	0.080	0.110	0.030	0.040	0.070	0.030	0.000
2.216	0.291	7.000	22.000	30.000	52.000	0.000	0.000	0.020	0.060	0.070	0.100	0.060	0.130	0.050	0.000	0.140	0.090	0.080	0.050	0.020	0.040	0.080	0.010	0.000
1.386	0.231	8.000	24.000	23.000	47.000	0.020	0.020	0.050	0.060	0.040	0.050	0.060	0.090	0.100	0.010	0.080	0.080	0.110	0.050	0.040	0.070	0.040	0.030	0.000
2.596	0.273	6.000	28.000	21.000	49.000	0.000	0.020	0.060	0.060	0.050	0.060	0.070	0.090	0.100	0.000	0.100	0.060	0.080	0.050	0.050	0.080	0.030	0.040	0.000
1.514	0.251	6.000	22.000	21.000	43.000	0.020	0.020	0.030	0.070	0.090	0.060	0.050	0.050	0.070	0.000	0.090	0.120	0.080	0.080	0.070	0.020	0.040	0.020	0.020
2.492	0.275	7.000	32.000	24.000	56.000	0.000	0.030	0.030	0.040	0.090	0.030	0.080	0.080	0.090	0.020	0.130	0.100	0.050	0.080	0.020	0.080	0.030	0.020	0.000
1.020	0.254	7.000	28.000	36.000	64.000	0.000	0.020	0.050	0.040	0.030	0.050	0.110	0.130	0.110	0.000	0.050	0.090	0.080	0.070	0.060	0.050	0.040	0.010	0.010
1.278	0.254	6.000	15.000	27.000	42.000	0.010	0.030	0.050	0.020	0.070	0.070	0.070	0.090	0.080	0.000	0.030	0.130	0.070	0.150	0.040	0.050	0.020	0.020	0.000
1.794	0.245	6.000	27.000	20.000	47.000	0.010	0.020	0.040	0.070	0.060	0.070	0.080	0.060	0.070	0.000	0.100	0.090	0.040	0.110	0.050	0.080	0.020	0.020	0.010
2.567	0.262	7.000	20.000	40.000	60.000	0.000	0.020	0.050	0.030	0.040	0.070	0.110	0.100	0.060	0.000	0.100	0.120	0.060	0.090	0.070	0.040	0.030	0.010	0.000
1.407	0.238	8.000	19.000	19.000	38.000	0.000	0.010	0.040	0.030	0.070	0.080	0.120	0.100	0.020	0.000	0.130	0.090	0.070	0.080	0.050	0.070	0.040	0.000	0.000
1.589	0.242	7.000	24.000	18.000	42.000	0.010	0.020	0.030	0.110	0.030	0.060	0.070	0.090	0.060	0.000	0.120	0.050	0.070	0.120	0.050	0.030	0.040	0.020	0.020
1.735	0.262	6.000	15.000	21.000	36.000	0.000	0.040	0.070	0.070	0.020	0.090	0.070	0.100	0.040	0.000	0.090	0.070	0.060	0.050	0.050	0.040	0.080	0.060	0.000
1.899	0.214	6.000	21.000	36.000	57.000	0.010	0.020	0.030	0.050	0.040	0.080	0.070	0.110	0.090	0.000	0.080	0.100	0.090	0.060	0.080	0.040	0.030	0.020	0.000
1.681	0.308	6.000	37.000	18.000	55.000	0.000	0.040	0.050	0.030	0.040	0.070	0.130	0.050	0.090	0.000	0.080	0.100	0.070	0.070	0.070	0.020	0.050	0.040	0.000
1.332	0.257	5.000	22.000	23.000	45.000	0.000	0.030	0.010	0.080	0.110	0.020	0.060	0.080	0.060	0.010	0.100	0.070	0.150	0.070	0.080	0.050	0.010	0.010	0.000
1.417	0.275	6.000	38.000	18.000	56.000	0.020	0.030	0.070	0.010	0.030	0.010	0.110	0.060	0.110	0.010	0.130	0.110	0.120	0.050	0.050	0.030	0.030	0.010	0.010
1.119	0.250	8.000	24.000	26.000	50.000	0.000	0.010	0.010	0.070	0.060	0.100	0.040	0.100	0.100	0.010	0.120	0.060	0.120	0.070	0.040	0.030	0.050	0.010	0.000
1.360	0.245	7.000	35.000	12.000	47.000	0.010	0.040	0.020	0.020	0.110	0.070	0.070	0.050	0.130	0.000	0.060	0.070	0.070	0.080	0.060	0.080	0.050	0.010	0.000
1.028	0.254	8.000	24.000	14.000	38.000	0.010	0.030	0.010	0.070	0.040	0.100	0.090	0.070	0.110	0.000	0.050	0.050	0.090	0.100	0.050	0.060	0.050	0.020	0.000
1.162	0.255	5.000	24.000	23.000	47.000	0.010	0.010	0.020	0.070	0.040	0.130	0.090	0.070	0.080	0.000	0.060	0.080	0.060	0.090	0.070	0.050	0.030	0.040	0.000
1.229	0.267	7.000	19.000	20.000	39.000	0.020	0.020	0.050	0.020	0.090	0.020	0.090	0.090	0.090	0.000	0.060	0.070	0.130	0.130	0.030	0.050	0.010	0.020	0.010
1.516	0.339	7.000	16.000	18.000	34.000	0.000	0.030	0.080	0.010	0.120	0.030	0.080	0.090	0.090	0.010	0.060	0.050	0.060	0.080	0.040	0.040	0.080	0.020	0.030
3.135	0.273	6.000	12.000	42.000	54.000	0.010	0.010	0.030	0.030	0.050	0.090	0.100	0.100	0.030	0.020	0.070	0.140	0.130	0.080	0.060	0.030	0.010	0.000	0.010
1.155	0.197	7.000	26.000	23.000	49.000	0.020	0.030	0.040	0.050	0.060	0.050	0.090	0.070	0.090	0.010	0.070	0.100	0.080	0.040	0.050	0.040	0.050	0.050	0.010
1.330	0.233	7.000	26.000	25.000	51.000	0.000	0.020	0.030	0.080	0.020	0.030	0.110	0.130	0.100	0.000	0.080	0.080	0.110	0.070	0.020	0.060	0.030	0.030	0.000
1.356	0.225	7.000	23.000	23.000	46.000	0.010	0.020	0.030	0.030	0.040	0.080	0.090	0.090	0.080	0.010	0.110	0.100	0.120	0.080	0.040	0.020	0.020	0.030	0.000
1.206	0.234	7.000	33.000	19.000	52.000	0.030	0.020	0.010	0.060	0.060	0.060	0.060	0.080	0.100	0.010	0.110	0.070	0.100	0.080	0.060	0.030	0.020	0.010	0.030
1.452	0.278	7.000	21.000	43.000	64.000	0.000	0.020	0.030	0.020	0.080	0.060	0.110	0.130	0.080	0.000	0.060	0.120	0.080	0.050	0.030	0.050	0.050	0.010	0.020
1.532	0.235	7.000	41.000	46.000	87.000	0.000	0.010	0.030	0.030	0.070	0.090	0.060	0.130	0.050	0.010	0.100	0.130	0.090	0.070	0.070	0.020	0.030	0.010	0.000
1.687	0.281	7.000	14.000	51.000	65.000	0.000	0.020	0.040	0.100	0.040	0.050	0.040	0.130	0.090	0.000	0.040	0.120	0.070	0.090	0.070	0.040	0.030	0.010	0.020
1.247	0.253	6.000	17.000	36.000	53.000	0.000	0.050	0.040	0.030	0.060	0.070	0.100	0.100	0.050	0.000	0.100	0.100	0.060	0.050	0.060	0.020	0.030	0.040	0.040
1.614	0.219	7.000	23.000	26.000	49.000	0.000	0.020	0.020	0.030	0.090	0.080	0.080	0.090	0.120	0.000	0.050	0.090	0.110	0.080	0.030	0.050	0.020	0.040	0.000
0.682	0.240	9.000	28.000	19.000	47.000	0.020	0.010	0.010	0.060	0.040	0.050	0.100	0.080	0.120	0.000	0.140	0.090	0.080	0.070	0.040	0.040	0.030	0.000	0.020
1.502	0.261	8.000	40.000	11.000	51.000	0.000	0.040	0.030	0.050	0.060	0.080	0.060	0.070	0.090	0.000	0.170	0.020	0.110	0.040	0.060	0.040	0.040	0.020	0.020
2.080	0.278	7.000	33.000	39.000	72.000	0.010	0.020	0.040	0.030	0.010	0.070	0.070	0.150	0.130	0.000	0.060	0.120	0.060	0.090	0.050	0.070	0.000	0.010	0.010
1.296	0.244	8.000	21.000	37.000	58.000	0.010	0.040	0.040	0.040	0.050	0.100	0.020	0.070	0.100	0.000	0.070	0.120	0.130	0.040	0.080	0.040	0.030	0.010	0.010
0.968	0.267	7.000	48.000	24.000	72.000	0.010	0.000	0.040	0.040	0.040	0.030	0.130	0.100	0.130	0.000	0.130	0.060	0.080	0.040	0.090	0.030	0.030	0.020	0.000
2.028	0.315	7.000	35.000	62.000	97.000	0.000	0.010	0.040	0.030	0.010	0.070	0.090	0.150	0.060	0.010	0.150	0.130	0.100	0.040	0.060	0.030	0.010	0.010	0.000
2.361	0.253	7.000	23.000	29.000	52.000	0.000	0.040	0.030	0.030	0.050	0.070	0.100	0.090	0.060	0.000	0.110	0.130	0.090	0.040	0.060	0.040	0.040	0.020	0.000
0.623	0.237	8.000	20.000	35.000	55.000	0.000	0.040	0.050	0.050	0.050	0.070	0.050	0.080	0.090	0.000	0.070	0.130	0.110	0.050	0.030	0.040	0.070	0.020	0.000
2.784	0.275	7.000	20.000	26.000	46.000	0.020	0.020	0.050	0.040	0.050	0.060	0.080	0.090	0.080	0.000	0.060	0.090	0.090	0.110	0.080	0.040	0.010	0.010	0.020
0.751	0.235	7.000	19.000	52.000	71.000	0.010	0.020	0.040	0.040	0.060	0.070	0.050	0.150	0.080	0.000	0.060	0.110	0.060	0.090	0.040	0.030	0.050	0.030	0.010
3.055	0.289	6.000	42.000	37.000	79.000	0.020	0.030	0.010	0.040	0.020	0.040	0.110	0.130	0.070	0.010	0.150	0.100	0.040	0.100	0.050	0.030	0.050	0.000	0.000
0.561	0.254	8.000	26.000	9.000	35.000	0.010	0.040	0.030	0.050	0.060	0.090	0.060	0.060	0.080	0.000	0.140	0.030	0.110	0.030	0.070	0.070	0.030	0.030	0.010
2.742	0.339	7.000	15.000	36.000	51.000	0.000	0.020	0.050	0.010	0.090	0.050	0.100	0.120	0.090	0.000	0.040	0.120	0.090	0.050	0.050	0.040	0.030	0.050	0.000
2.355	0.298	7.000	29.000	31.000	60.000	0.000	0.030	0.000	0.010	0.070	0.060	0.120	0.120	0.090	0.010	0.120	0.090	0.130	0.050	0.020	0.010	0.030	0.040	0.000
1.466	0.292	6.000	26.000	51.000	77.000	0.020	0.040	0.020	0.060	0.020	0.060	0.050	0.130	0.060	0.000	0.100	0.170	0.060	0.020	0.090	0.050	0.040	0.010	0.000
0.873	0.269	6.000	26.000	11.000	37.000	0.000	0.010	0.060	0.030	0.070	0.100	0.090	0.040	0.090	0.000	0.100	0.070	0.090	0.110	0.040	0.040	0.020	0.020	0.020
1.123	0.255	6.000	23.000	35.000	58.000	0.010	0.030	0.050	0.030	0.070	0.080	0.040	0.080	0.080	0.000	0.110	0.120	0.050	0.060	0.070	0.080	0.010	0.020	0.010
2.097	0.280	8.000	25.000	34.000	59.000	0.030	0.030	0.030	0.050	0.050	0.050	0.080	0.090	0.080	0.000	0.070	0.110	0.080	0.070	0.070	0.040	0.010	0.040	0.020
1.241	0.234	7.000	26.000	29.000	55.000	0.010	0.020	0.050	0.020	0.080	0.030	0.070	0.080	0.130	0.010	0.070	0.110	0.120	0.080	0.040	0.030	0.020	0.020	0.010
0.893	0.239	7.000	41.000	30.000	71.000	0.010	0.030	0.050	0.050	0.050	0.040	0.060	0.070	0.120	0.000	0.110	0.100	0.100	0.030	0.080	0.040	0.030	0.020	0.010
1.213	0.281	6.000	26.000	41.000	67.000	0.010	0.020	0.040	0.040	0.070	0.060	0.060	0.120	0.130	0.000	0.050	0.050	0.090	0.090	0.040	0.050	0.040	0.010	0.030
1.038	0.253	7.000	34.000	29.000	63.000	0.010	0.010	0.050	0.060	0.050	0.030	0.120	0.080	0.070	0.000	0.080	0.110	0.140	0.030	0.060	0.040	0.020	0.040	0.000
1.450	0.258	8.000	20.000	27.000	47.000	0.010	0.030	0.010	0.030	0.080	0.050	0.110	0.110	0.090	0.000	0.070	0.080	0.100	0.070	0.050	0.060	0.020	0.010	0.020
0.789	0.275	6.000	30.000	32.000	62.000	0.010	0.000	0.040	0.050	0.080	0.040	0.100	0.090	0.110	0.000	0.090	0.080	0.090	0.030	0.050	0.100	0.000	0.030	0.010
1.909	0.238	7.000	26.000	30.000	56.000	0.010	0.010	0.040	0.040	0.080	0.070	0.050	0.080	0.090	0.000	0.110	0.120	0.080	0.080	0.060	0.020	0.050	0.000	0.010
1.111	0.271	7.000	28.000	39.000	67.000	0.030	0.020	0.040	0.020	0.050	0.060	0.080	0.120	0.110	0.000	0.080	0.090	0.060	0.020	0.060	0.070	0.070	0.000	0.020
1.687	0.271	6.000	19.000	44.000	63.000	0.000	0.010	0.060	0.020	0.060	0.110	0.050	0.140	0.050	0.000	0.080	0.160	0.030	0.090	0.020	0.020	0.050	0.030	0.020
2.297	0.281	7.000	25.000	42.000	67.000	0.000	0.050	0.030	0.040	0.050	0.050	0.060	0.150	0.070	0.000	0.110	0.110	0.050	0.070	0.030	0.020	0.060	0.050	0.000
0.979	0.271	8.000	38.000	15.000	53.000	0.010	0.010	0.030	0.020	0.080	0.130	0.040	0.070	0.100	0.000	0.150	0.060	0.070	0.090	0.030	0.030	0.050	0.010	0.020
2.606	0.325	6.000	38.000	35.000	73.000	0.040	0.020	0.050	0.020	0.050	0.050	0.060	0.070	0.100	0.000	0.080	0.170	0.050	0.080	0.060	0.060	0.020	0.010	0.010
1.425	0.219	7.000	19.000	45.000	64.000	0.010	0.020	0.030	0.070	0.030	0.070	0.080	0.130	0.060	0.000	0.090	0.080	0.080	0.070	0.070	0.060	0.020	0.020	0.010
